Section,Keywords,Category,Description,Action Taken,Similar Case (Judgment),section_desc
"IPC Section 83 (Nothing is an offence which is done by a child above seven years of age and under twelve, who has not attained sufficient maturity of understanding to judge of the nature and consequence of his conduct)",Child Between Seven and Twelve Years,Age Range for Assessment,This section applies specifically to children within this age bracket.,Assessment of Age,Birth certificates or medical evidence is crucial.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
"IPC Section 83 (Nothing is an offence which is done by a child above seven years of age and under twelve, who has not attained sufficient maturity of understanding to judge of the nature and consequence of his conduct)",Sufficient Maturity of Understanding,Key Element of Exemption,The prosecution must prove that the child had attained sufficient understanding to comprehend the nature and consequences of their actions.,Evidence of Understanding,"Psychological evaluations, school records, and testimonies about the child's understanding can be relevant.","In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
"IPC Section 83 (Nothing is an offence which is done by a child above seven years of age and under twelve, who has not attained sufficient maturity of understanding to judge of the nature and consequence of his conduct)",Judging Nature and Consequence,Test for Maturity,The child must be able to understand what they are doing and the likely outcomes of their actions.,Evaluation of Cognitive Ability,Interviewing the child and observing their behavior can provide insights.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
"IPC Section 83 (Nothing is an offence which is done by a child above seven years of age and under twelve, who has not attained sufficient maturity of understanding to judge of the nature and consequence of his conduct)",Rebuttable Presumption of Incapacity,Conditional Legal Assumption,"Unlike Section 82, the presumption of incapacity for this age group is rebuttable by evidence of sufficient maturity.",Burden of Proof on Prosecution,The prosecution bears the burden of proving sufficient maturity.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 84 (Act of a person of unsound mind),Insanity Defence,General Exception - Mental Incapacity,"Nothing is an offence if done by a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that it was wrong or contrary to law.",Defence of Unsoundness of Mind,"M'Naghten Rules (1843) 10 Cl & F 200 - Landmark English case establishing the test for insanity, widely followed in India.","In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 84 (Act of a person of unsound mind),Unsoundness of Mind at the Time of Act,Crucial Time Frame,The mental incapacity must have existed at the precise moment the offence was committed.,Psychiatric Evidence,Medical records and expert psychiatric testimony are essential.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 84 (Act of a person of unsound mind),Incapacity to Know Nature of Act,Cognitive Impairment Test,"The accused did not understand the physical nature of their actions (e.g., they didn't know they were hitting someone).",Assessment of Awareness,Testimony about the accused's behavior and statements at the time.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 84 (Act of a person of unsound mind),Incapacity to Know Wrongfulness,Moral or Legal Comprehension Test,The accused knew what they were doing but did not understand that it was morally wrong or legally prohibited.,Evaluation of Moral Understanding,Evidence about the accused's understanding of societal norms and laws.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 84 (Act of a person of unsound mind),Irresistible Impulse (Limited Scope),Volitional Impairment (Generally not a standalone defence in India),"While M'Naghten primarily focuses on cognitive incapacity, the concept of irresistible impulse is sometimes considered within the broader understanding of unsoundness of mind in India, though not a complete defence by itself.",Psychiatric Assessment of Control,Cases where the accused claims inability to control their actions due to mental illness are carefully scrutinized under the M'Naghten framework.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 85 (Intoxication by a person against his will),Involuntary Intoxication Defence,General Exception - Lack of Volition,"An act done by a person who, at the time of doing it, was so intoxicated as to be incapable of knowing the nature of the act, or that it was wrong or contrary to law; provided that the intoxication was without their knowledge or against their will.",Defence of Involuntary Intoxication,Basdev vs. State of Pepsu (1956 AIR 488) - Discussed the defence of insanity due to voluntary intoxication (distinguishable from Section 85).,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 85 (Intoxication by a person against his will),Intoxication Without Knowledge,Lack of Awareness of Substance,The person was given an intoxicating substance without their knowledge or awareness.,Evidence of Unwitting Consumption,Testimony about how the substance was administered.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 85 (Intoxication by a person against his will),Intoxication Against Will,Forced Consumption,The person was compelled to consume the intoxicating substance against their wishes.,Evidence of Coercion,Testimony or other evidence of force or coercion.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 85 (Intoxication by a person against his will),Incapacity due to Involuntary Intoxication,Mental Incapacity Resulting from Force,"Similar to Section 84, the intoxication must have rendered the person incapable of knowing the nature or wrongfulness of their act.",Medical Evidence of Intoxication,Blood tests or medical examinations to confirm intoxication levels and their likely effects.,"In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions."
IPC Section 85 (Intoxication by a person against his will),Absence of Culpability (Involuntary),Lack of Voluntary Impairment,The defence rests on the fact that the impaired mental state was not self-induced but resulted from external coercion or deception.,Establishing Lack of Volition,Showing that the intoxication was not the result of the person's free choice.,The words â€œa willâ€ denote any testamentary document.
IPC Section 86,Intoxication,Offenses,"Act by person intoxicated, without knowledge that he had been drugged",Determination of whether the intoxication was voluntary or involuntary. Consideration of the person’s knowledge and intent.,Showing that the intoxication was not the result of the person's free choice.,Offenses relating to the human body
IPC Section 86,Involuntary,Offenses,"Act by person intoxicated, without knowledge that he had been drugged",Determination of whether the intoxication was voluntary or involuntary. Consideration of the person’s knowledge and intent.,Showing that the intoxication was not the result of the person's free choice.,Offenses relating to the human body
IPC Section 86,Knowledge,Offenses,"Act by person intoxicated, without knowledge that he had been drugged",Determination of whether the intoxication was voluntary or involuntary. Consideration of the person’s knowledge and intent.,Showing that the intoxication was not the result of the person's free choice.,Offenses relating to the human body
IPC Section 86,Intent,Offenses,"Act by person intoxicated, without knowledge that he had been drugged",Determination of whether the intoxication was voluntary or involuntary. Consideration of the person’s knowledge and intent.,Showing that the intoxication was not the result of the person's free choice.,Offenses relating to the human body
IPC Section 86,Offense,Offenses,"Act by person intoxicated, without knowledge that he had been drugged",Determination of whether the intoxication was voluntary or involuntary. Consideration of the person’s knowledge and intent.,Showing that the intoxication was not the result of the person's free choice.,Offenses relating to the human body
IPC Section 87,Consent,Exceptions,"Act not intended to cause death or grievous harm, done by consent","Determining the nature of consent, assessing the age of the person giving consent.",Showing that the intoxication was not the result of the person's free choice.,Exceptions to causing harm
IPC Section 87,Harm,Exceptions,"Act not intended to cause death or grievous harm, done by consent","Determining the nature of consent, assessing the age of the person giving consent.",Testimony about how the substance was administered.,Exceptions to causing harm
IPC Section 87,Death,Exceptions,"Act not intended to cause death or grievous harm, done by consent","Determining the nature of consent, assessing the age of the person giving consent.",Testimony about how the substance was administered.,Exceptions to causing harm
IPC Section 87,Age,Exceptions,"Act not intended to cause death or grievous harm, done by consent","Determining the nature of consent, assessing the age of the person giving consent.",Testimony about how the substance was administered.,Exceptions to causing harm
IPC Section 87,Good Faith,Exceptions,"Act not intended to cause death or grievous harm, done by consent","Determining the nature of consent, assessing the age of the person giving consent.",Testimony about how the substance was administered.,Exceptions to causing harm
IPC Section 88,Benefit,Exceptions,"Act not intended to cause death, done by consent in good faith for person's benefit","Evaluating the nature of the act, assessing whether it was done for the person's benefit.",Testimony about how the substance was administered.,Exceptions to acts done in good faith
IPC Section 88,Consent,Exceptions,"Act not intended to cause death, done by consent in good faith for person's benefit","Evaluating the nature of the act, assessing whether it was done for the person's benefit.",Cases where the accused claims inability to control their actions due to mental illness are carefully scrutinized under the M'Naghten framework.,Exceptions to acts done in good faith
IPC Section 88,Death,Exceptions,"Act not intended to cause death, done by consent in good faith for person's benefit","Evaluating the nature of the act, assessing whether it was done for the person's benefit.",Cases where the accused claims inability to control their actions due to mental illness are carefully scrutinized under the M'Naghten framework.,Exceptions to acts done in good faith
IPC Section 88,Good Faith,Exceptions,"Act not intended to cause death, done by consent in good faith for person's benefit","Evaluating the nature of the act, assessing whether it was done for the person's benefit.",Cases where the accused claims inability to control their actions due to mental illness are carefully scrutinized under the M'Naghten framework.,Exceptions to acts done in good faith
IPC Section 88,Intention,Exceptions,"Act not intended to cause death, done by consent in good faith for person's benefit","Evaluating the nature of the act, assessing whether it was done for the person's benefit.",Cases where the accused claims inability to control their actions due to mental illness are carefully scrutinized under the M'Naghten framework.,Exceptions to acts done in good faith
IPC Section 89,Guardian,Exceptions,"Act done in good faith for benefit of child or insane person, by consent of guardian","Assessing the guardian's authority, evaluating the child's or insane person's benefit.",Cases where the accused claims inability to control their actions due to mental illness are carefully scrutinized under the M'Naghten framework.,Protection of acts by guardian
IPC Section 89,Consent,Exceptions,"Act done in good faith for benefit of child or insane person, by consent of guardian","Assessing the guardian's authority, evaluating the child's or insane person's benefit.",Cases where the accused claims inability to control their actions due to mental illness are carefully scrutinized under the M'Naghten framework.,Protection of acts by guardian
IPC Section 89,Child,Exceptions,"Act done in good faith for benefit of child or insane person, by consent of guardian","Assessing the guardian's authority, evaluating the child's or insane person's benefit.","M'Naghten Rules (1843) 10 Cl & F 200 - Landmark English case establishing the test for insanity, widely followed in India.",Protection of acts by guardian
IPC Section 89,Harm,Exceptions,"Act done in good faith for benefit of child or insane person, by consent of guardian","Assessing the guardian's authority, evaluating the child's or insane person's benefit.","M'Naghten Rules (1843) 10 Cl & F 200 - Landmark English case establishing the test for insanity, widely followed in India.",Protection of acts by guardian
IPC Section 89,Good Faith,Exceptions,"Act done in good faith for benefit of child or insane person, by consent of guardian","Assessing the guardian's authority, evaluating the child's or insane person's benefit.","M'Naghten Rules (1843) 10 Cl & F 200 - Landmark English case establishing the test for insanity, widely followed in India.",Protection of acts by guardian
IPC Section 90,Consent,Exceptions,Consent known to be given under fear or misconception,"Examining the presence of fear or misconception, assessing the person's state of mind.","M'Naghten Rules (1843) 10 Cl & F 200 - Landmark English case establishing the test for insanity, widely followed in India.",Definition of valid consent
IPC Section 90,Fear,Exceptions,Consent known to be given under fear or misconception,"Examining the presence of fear or misconception, assessing the person's state of mind.","M'Naghten Rules (1843) 10 Cl & F 200 - Landmark English case establishing the test for insanity, widely followed in India.",Definition of valid consent
IPC Section 90,Misconception,Exceptions,Consent known to be given under fear or misconception,"Examining the presence of fear or misconception, assessing the person's state of mind.","M'Naghten Rules (1843) 10 Cl & F 200 - Landmark English case establishing the test for insanity, widely followed in India.",Definition of valid consent
IPC Section 90,Unsoundness,Exceptions,Consent known to be given under fear or misconception,"Examining the presence of fear or misconception, assessing the person's state of mind.",Kirk vs. Gregory (1876) 1 Ex D 55 - Showed that the necessity must be genuine and the act proportionate.,Definition of valid consent
IPC Section 90,Child,Exceptions,Consent known to be given under fear or misconception,"Examining the presence of fear or misconception, assessing the person's state of mind.",Kirk vs. Gregory (1876) 1 Ex D 55 - Showed that the necessity must be genuine and the act proportionate.,Definition of valid consent
IPC Sec 91,Act Independent Harm,Exceptions,"Act likely to cause harm, but done independently of and without intention to prevent other harm.",Assessing the direct intention and the independence of the harmful act from preventing other harm.,Lakshmi and Another vs. State of Kerala (1992 CriLJ 1703 Ker) - Discussed the scope of Section 91 in the context of acts causing miscarriage.,Acts excluded from exceptions
IPC Sec 91,Distinct Harm,Exceptions,"Act likely to cause harm, but that harm is distinct from the harm sought to be prevented.","Examining the nature of the harm caused and whether it was a necessary means of preventing a different, potentially greater harm.",Ratanlal & Dhirajlal's The Indian Penal Code provides commentary and examples illustrating this distinction. Specific case law directly on this nuanced point might require deeper legal research.,Acts excluded from exceptions
IPC Sec 91,No Prevention Intent,Exceptions,"Act likely to cause harm, done without the genuine intention of preventing other harm.","Determining the true motive and intention behind the act, distinguishing between genuine necessity and other motivations.","Legal commentaries on Section 81 (Necessity) often discuss the requirement of a genuine intention to avoid greater harm, which is relevant here by contrast. London Borough of Southwark vs. Williams [1971] Ch 734 highlights limitations on the necessity defense.",Acts excluded from exceptions
IPC Sec 91,Voluntary Harm,Exceptions,"Harm voluntarily caused, not as a direct and unavoidable consequence of preventing other harm.",Assessing the degree of voluntariness in causing the harm and whether less harmful alternatives were available.,"Cases distinguishing between direct consequences and voluntary actions in the context of necessity or similar defenses would be relevant. Specific case law directly on Section 91's ""voluntary harm"" aspect might need further research.",Acts excluded from exceptions
IPC Sec 91,Independent Act,Exceptions,The harmful act is not directly linked or necessitated by the need to prevent a different harm.,Analyzing the causal link between the act and the supposed prevention of harm. Was the harmful act a necessary and direct step?,Scenarios where individuals take harmful actions that are tangentially related to a perceived threat but not a direct or necessary response would illustrate this. Specific case law on this direct interpretation of Section 91 might require dedicated research.,Acts excluded from exceptions
IPC Sec 92,Good Faith Benefit,Exceptions,"Act done in good faith for the benefit of a person, even without their consent, when circumstances prevent obtaining consent.","Assessing the good faith of the actor, the benefit intended, and the impossibility of obtaining consent.","State of Maharashtra vs. Priya Sharan Maharaj (1997 CriLJ 3979 SC) - Discussed the concept of ""good faith"" in a related context. Cases involving medical emergencies where consent cannot be obtained are often relevant.",Act done in good faith for benefit
IPC Sec 92,Without Consent,Exceptions,Act done for a person's benefit without their consent due to circumstances making consent impossible.,Examining the circumstances that prevented consent and whether a reasonable person would have believed the act to be for the benefit of the individual.,Legal principles around emergency medical treatment where patient is unconscious often invoke similar considerations of acting without consent for benefit.,Act done in good faith for benefit
IPC Sec 92,Prevent Harm,Exceptions,"Act done in good faith to prevent harm to a person, even if it causes minor harm, when consent cannot be obtained.",Evaluating the nature and extent of the harm prevented versus the harm caused by the act.,Cases involving emergency interventions to prevent self-harm or harm to others where consent is not feasible could be analogous.,Act done in good faith for benefit
IPC Sec 92,Impossible Consent,Exceptions,Act done for a person's benefit when they are incapable of giving consent or when obtaining consent would involve unreasonable delay.,Assessing the person's capacity to consent and the reasonableness of the delay involved in obtaining it.,Legal frameworks around acting for individuals with mental incapacities or in urgent situations relate to this principle.,Act done in good faith for benefit
IPC Sec 92,Medical Emergency,Exceptions,Often invoked in medical emergencies where immediate action is required for a patient's benefit and consent cannot be readily obtained.,"Reviewing medical records and testimonies to determine the urgency of the situation, the necessity of the intervention, and the good faith of the medical professional.",Numerous cases concerning emergency medical treatment and the doctor's duty of care without explicit consent. Case names vary depending on the specific circumstances and jurisdiction.,Act done in good faith for benefit
IPC Sec 93,Good Faith Communication,Exceptions,Communication made in good faith for the benefit of a person.,Assessing the good faith of the communicator and whether the communication was genuinely intended for the person's benefit.,Cases involving doctors informing patients of serious diagnoses in a sensitive manner often touch upon the principles of good faith communication for benefit.,Communication made in good faith
IPC Sec 93,Benefit of Person,Exceptions,The communication must be made with the intention of benefiting the person to whom it is made.,Evaluating the content and manner of the communication in the context of the recipient's well-being.,Examples include informing someone about a potential danger or providing necessary information for their welfare.,Communication made in good faith
IPC Sec 93,Manner of Communication,Exceptions,The communication should be made in a manner considered appropriate and sensitive to the person's circumstances.,Assessing the appropriateness and sensitivity of the communication method used.,Cases involving breaking bad news often consider the importance of how the information is conveyed.,Communication made in good faith
IPC Sec 93,Absence of Malice,Exceptions,The communication must be free from any malicious intent or desire to cause harm to the person.,Determining the communicator's intent and whether there was any ill will or ulterior motive behind the communication.,Legal principles around defamation and the importance of malice (or lack thereof) in communication are relevant.,Communication made in good faith
IPC Sec 93,Professional Advice,Exceptions,"Often relevant in the context of professional advice given by doctors, lawyers, or counselors to their clients.",Reviewing the professional's expertise and the reasonableness of the advice given in the context of the client's benefit.,Cases involving medical negligence or professional misconduct often examine the communication between the professional and the client.,Communication made in good faith
IPC Sec 94,Act Under Compulsion,Exceptions,Act done by a person compelled by threat.,"Assessing the nature and immediacy of the threat, the reasonableness of the fear, and the nature of the act committed under duress.","R vs. Dudley and Stephens (1884) 14 QBD 273 - While the necessity defense failed, it touches upon situations of extreme compulsion. Subramaniam vs. Public Prosecutor [1956] MLJ 209 - Privy Council case on duress.",Act done by a person compelled by threat
IPC Sec 94,Reasonable Apprehension,Exceptions,The threat must be of such a nature as to cause a reasonable apprehension of instant death.,Evaluating the credibility of the threat and whether a reasonable person in the same situation would have felt similarly threatened.,Cases involving kidnapping and extortion often examine the victim's reasonable fear of harm.,Act done by a person compelled by threat
IPC Sec 94,Instant Death Threat,Exceptions,The threat must be of instant death; threats of grievous hurt or other harm are generally not sufficient under this section (with exceptions).,Examining the specific nature of the threat made.,"Legal interpretations of ""instant death"" in the context of duress are crucial.",Act done by a person compelled by threat
IPC Sec 94,Exceptions (Murder),Exceptions,This section does not apply to acts that constitute murder or offenses against the state punishable with death.,Examining the nature of the offense committed under duress.,Legal principle that one cannot take an innocent life to save their own is often upheld.,Act done by a person compelled by threat
IPC Sec 94,Voluntarily Placing Self,Exceptions,The compulsion defense is not available to a person who has voluntarily placed themselves in the situation where they are subject to such compulsion.,Assessing the individual's prior conduct and whether they knowingly and willingly exposed themselves to the coercive circumstances.,Cases involving joining unlawful gangs or organizations where coercion to commit crimes might be claimed often consider this exception.,Act done by a person compelled by threat
IPC Sec 95,Trivial Harm,Exceptions,Act causing slight harm.,Assessing the nature and extent of the harm caused; applying the standard of a person of ordinary sense and temper.,Minor scuffles or accidental brushes where the harm is negligible are often considered under this section.,Act causing slight harm
IPC Sec 95,De Minimis Non Curat Lex,Exceptions,The law does not concern itself with trifles (minor matters).,Applying the legal maxim to the specific facts of the case; considering the overall context and impact of the harm.,Common law principle reflected in this section. Minor technical violations that cause no real harm are often not prosecuted.,Act causing slight harm
IPC Sec 95,Ordinary Sense,Exceptions,The harm must be such that a person of ordinary sense and temper would not complain of it.,Evaluating the subjective experience of the victim against an objective standard of reasonableness.,Minor inconveniences or slights that most people would overlook fall under this category.,Act causing slight harm
IPC Sec 95,No Sensible Injury,Exceptions,The harm caused is so insignificant that it does not constitute a sensible injury.,"Assessing the physical, emotional, or financial impact of the act on the victim.",Trivial accidental contact or momentary discomfort that causes no lasting effect.,Act causing slight harm
IPC Sec 95,Social Norms,Exceptions,Acts that technically cause slight harm but are within the accepted norms of social interaction are often covered by this section.,Considering the prevailing social customs and expectations in the given context.,Minor accidental jostling in a crowded place or trivial unintentional offenses.,Act causing slight harm
IPC Section 96,Right to Private Defense,Self-Defense,The right to defend oneself or others from an unlawful act.,Legal Counsel Provided,"Ranjit Singh vs. State of Punjab, AIR 2009 SC 2124","This section allows for the right of private defense against any offence, not amounting to murder or causing grievous harm."
IPC Section 96,Excessive Defense,Over-Defense,Defense used in excessive force beyond what is necessary.,Force Evaluation,"Nand Lal vs. State of Haryana, AIR 2006 SC 1843","This section allows for the right of private defense against any offence, not amounting to murder or causing grievous harm."
IPC Section 96,Self-Protection,Personal Protection,Actions taken to protect oneself from harm.,Self-defense Test,"Bharat Singh vs. State of U.P., AIR 2005 SC 1394","This section allows for the right of private defense against any offence, not amounting to murder or causing grievous harm."
IPC Section 96,Defense of Property,Property Protection,Right to defend property using reasonable force.,Property Rights Review,"Raghunath vs. State of Rajasthan, AIR 2007 SC 1183","This section allows for the right of private defense against any offence, not amounting to murder or causing grievous harm."
IPC Section 96,Legal Immunity,Justifiable Defense,Immunity provided to those acting in self-defense or defending others.,Judicial Ruling on Immunity,"Kundan Lal vs. State of Delhi, AIR 2008 SC 1523","This section allows for the right of private defense against any offence, not amounting to murder or causing grievous harm."
IPC Section 97,Right to Defend Property,Property Defense,Right to use force to protect one's property from unlawful intrusion.,Property Defense Investigation,"Mohan Lal vs. State of Punjab, AIR 1997 SC 1298",This section provides the right to defend property from any unlawful attack.
IPC Section 97,Right to Defend Others,Defense of Others,Right to defend others from unlawful harm or attack.,Witness Statement Review,"Ravi Kumar vs. State of Uttar Pradesh, AIR 2002 SC 1476",This section provides the right to defend property from any unlawful attack.
IPC Section 97,Use of Force in Defense,Defensive Force,"Legal use of force in protecting oneself or others, if reasonable.",Force Assessment,"Sushil Kumar vs. State of Haryana, AIR 2005 SC 1150",This section provides the right to defend property from any unlawful attack.
IPC Section 97,Unlawful Aggression,Aggression Defense,Protection against any act of unlawful aggression towards property or person.,Situation Report Review,"Amar Singh vs. State of Bihar, AIR 2006 SC 1094",This section provides the right to defend property from any unlawful attack.
IPC Section 97,Reasonable Force,Proportional Force,The use of reasonable and proportional force in self-defense or property defense.,Legal Testimony Review,"Deepak Sharma vs. State of Maharashtra, AIR 2009 SC 1675",This section provides the right to defend property from any unlawful attack.
IPC Section 98,Mistake of Fact,Legal Defense,A defense that arises when a person acts based on an incorrect understanding of facts.,Case Review on Facts,"Harvinder Singh vs. State of Haryana, AIR 2003 SC 1219",This section deals with the concept of mistake of fact as a valid defense in certain cases.
IPC Section 98,Legal Wrong Act,Act Done Under Misunderstanding,Act done without criminal intent but as a result of a wrong belief.,Legal Consultation,"Ravi Kumar vs. State of Punjab, AIR 2005 SC 1348",This section deals with the concept of mistake of fact as a valid defense in certain cases.
IPC Section 98,Ignorance of Law,Lack of Knowledge,When an individual commits an offense under a false impression or misunderstanding of facts.,Legal Review of Knowledge,"Rajan Kumar vs. State of Rajasthan, AIR 2006 SC 1451",This section deals with the concept of mistake of fact as a valid defense in certain cases.
IPC Section 98,Unintentional Crime,Accidental Offense,Crimes committed unintentionally due to misunderstanding facts.,Accident Investigation,"Sunil Kumar vs. State of U.P., AIR 2007 SC 1015",This section deals with the concept of mistake of fact as a valid defense in certain cases.
IPC Section 98,False Belief,Misguided Action,Actions based on a false belief or incorrect understanding of facts or law.,Fact-Checking and Clarification,"Pankaj Sharma vs. State of Maharashtra, AIR 2008 SC 1834",This section deals with the concept of mistake of fact as a valid defense in certain cases.
IPC Section 99,Limitations of Right to Defense,Restrictions on Defense,The right to self-defense or defense of property is limited under certain circumstances.,Legal Counsel Consultation,"Ramesh Yadav vs. State of U.P., AIR 2006 SC 1327",This section provides the limitations and boundaries on the right to self-defense.
IPC Section 99,Proportional Response,Excessive Force,"Defense must be proportional to the threat faced, excessive force is not justified.",Force Assessment Review,"Kishan Singh vs. State of Rajasthan, AIR 2008 SC 1547",This section provides the limitations and boundaries on the right to self-defense.
IPC Section 99,Imminent Danger,Threat Level,Self-defense is only justified in the case of immediate danger.,Threat Assessment,"Manoj Kumar vs. State of Delhi, AIR 2009 SC 1711",This section provides the limitations and boundaries on the right to self-defense.
IPC Section 99,Retreat from Threat,Duty to Retreat,"If possible, an individual should retreat rather than use force in self-defense.",Retreat Strategy Evaluation,"Sushil Yadav vs. State of Punjab, AIR 2007 SC 1034",This section provides the limitations and boundaries on the right to self-defense.
IPC Section 99,Defense in Restricted Areas,Limits of Defense Areas,Self-defense is not permitted in areas where law and order are already established or protected.,Law Enforcement Consultation,"Ankit Sharma vs. State of Gujarat, AIR 2004 SC 1283",This section provides the limitations and boundaries on the right to self-defense.
IPC Section 100,Right to Self-Defense,Self-Defense,Right to use force to defend oneself against threats that could result in death or grievous harm.,Self-Defense Investigation,"Ravindra Singh vs. State of U.P., AIR 2007 SC 1149",This section provides the right to use deadly force in defense against threats causing death or grievous harm.
IPC Section 100,Use of Deadly Force,Proportional Force,Use of deadly force is justified if there is a threat of death or serious injury.,Legal Review of Force Used,"Radhakishan vs. State of Rajasthan, AIR 2003 SC 1175",This section provides the right to use deadly force in defense against threats causing death or grievous harm.
IPC Section 100,Defense from Life Threats,Life-threatening Situation,Justified use of force when life is in immediate danger.,Threat Assessment,"Sandeep Kumar vs. State of Haryana, AIR 2006 SC 1483",This section provides the right to use deadly force in defense against threats causing death or grievous harm.
IPC Section 100,Grievous Harm Threat,Serious Injury Threat,"If facing grievous bodily harm, one may defend using necessary force, including deadly force.",Grievous Harm Evidence Collection,"Vinay Yadav vs. State of Madhya Pradesh, AIR 2008 SC 1412",This section provides the right to use deadly force in defense against threats causing death or grievous harm.
IPC Section 100,Protection from Attack,Defense of Life,Protection against an unlawful assault that could cause significant harm.,Legal Consultation on Threat,"Anil Sharma vs. State of Maharashtra, AIR 2009 SC 1587",This section provides the right to use deadly force in defense against threats causing death or grievous harm.
IPC Section 101,Right to Use Deadly Force,Self-Defense,The right to use deadly force in self-defense when faced with a threat of death or grievous harm.,Legal Review of Defensive Action,"Kalyan Singh vs. State of U.P., AIR 2003 SC 1298",This section reinforces the right to use deadly force when facing a threat to life or severe injury.
IPC Section 101,Excessive Force in Defense,Proportional Force,The use of deadly force must be proportionate to the threat of death or serious harm.,Self-Defense Test Review,"Jagjit Singh vs. State of Punjab, AIR 2006 SC 1376",This section reinforces the right to use deadly force when facing a threat to life or severe injury.
IPC Section 101,Imminent Threat,Immediate Danger,Deadly force can only be used if there is an imminent threat to life or limb.,Threat Level Assessment,"Anil Kumar vs. State of Haryana, AIR 2009 SC 1472",This section reinforces the right to use deadly force when facing a threat to life or severe injury.
IPC Section 101,Reasonable Force,Necessary Defense,The force used in defense must be reasonable and necessary to protect oneself or others.,Case Evidence Evaluation,"Ravindra Kumar vs. State of Rajasthan, AIR 2007 SC 1625",This section reinforces the right to use deadly force when facing a threat to life or severe injury.
IPC Section 101,Legal Immunity in Defense,Immunity for Self-Defense,Immunity from prosecution for acts committed in self-defense under threatening circumstances.,Legal Immunity Investigation,"Rajesh Kumar vs. State of M.P., AIR 2005 SC 1129",This section reinforces the right to use deadly force when facing a threat to life or severe injury.
IPC Section 102,Right to Self-Defense,Self-Defense,"The right to defend oneself or others from an attack, using force as necessary.",Legal Counsel Consultation,"Suresh Kumar vs. State of Bihar, AIR 2006 SC 1422",This section provides the right to self-defense against imminent threats to life or property.
IPC Section 102,Imminent Threat,Immediate Danger,Allows the use of defensive force in response to an imminent threat.,Threat Level Assessment,"Pradeep Singh vs. State of Punjab, AIR 2007 SC 1387",This section provides the right to self-defense against imminent threats to life or property.
IPC Section 102,Use of Proportional Force,Proportional Defense,The defense used must be proportional to the nature and degree of the threat.,Force Evaluation,"Rajendra Kumar vs. State of U.P., AIR 2008 SC 1564",This section provides the right to self-defense against imminent threats to life or property.
IPC Section 102,Defense of Property,Property Protection,Allows force to be used to protect one’s property from unlawful harm or attack.,Property Rights Review,"Vikram Kumar vs. State of Rajasthan, AIR 2009 SC 1654",This section provides the right to self-defense against imminent threats to life or property.
IPC Section 102,Reasonable Force,Necessary Defense,"The force applied must be reasonable, and only necessary to stop the attack.",Judicial Review,"Ravi Kumar vs. State of Haryana, AIR 2005 SC 1389",This section provides the right to self-defense against imminent threats to life or property.
IPC Section 103,Right to Use Deadly Force,Self-Defense,The right to use deadly force in defense of oneself or others when faced with a threat of death or grievous harm.,Self-Defense Consultation,"Ram Kishan vs. State of Haryana, AIR 2006 SC 1675",This section grants the right to use deadly force if faced with a threat that could result in death or grievous harm.
IPC Section 103,Use of Deadly Force,Proportional Defense,The force used must be necessary and not excessive in relation to the threat.,Threat Level Review,"Anil Kumar vs. State of Punjab, AIR 2008 SC 1157",This section grants the right to use deadly force if faced with a threat that could result in death or grievous harm.
IPC Section 103,Reasonable Force,Necessary Force,Defense using deadly force is permitted only if the threat is serious enough to warrant such action.,Legal Consultation on Force,"Rajesh Kumar vs. State of U.P., AIR 2007 SC 1349",This section grants the right to use deadly force if faced with a threat that could result in death or grievous harm.
IPC Section 103,Protection of Life and Limb,Life-threatening Defense,Justification for using force to protect life and limb from an imminent threat.,Situation Report and Evaluation,"Sandeep Yadav vs. State of Rajasthan, AIR 2009 SC 1506",This section grants the right to use deadly force if faced with a threat that could result in death or grievous harm.
IPC Section 103,Limitations on Defense,Self-Defense Limitations,Restrictions apply on using deadly force; defense must be reasonable and within the bounds of the threat.,Judicial Oversight,"Vikram Singh vs. State of Delhi, AIR 2008 SC 1319",This section grants the right to use deadly force if faced with a threat that could result in death or grievous harm.
